TS,Count
2011-06,1
2012-06,1
2012-10,1
2012-12,1
2013-06,1
2013-12,1
2014-08,1
2015-09,1
2016-06,1
2017-02,1
2018-11,1
2019-08,1
2020-11,1
2021-09,1
2021-12,1
2023-06,1
2024-07,1
2025-04,4
2025-05,19
2025-06,8
2025-07,6
2025-08,13
2025-09,19
2025-10,5
2026-01,2
2026-02,13
2026-03,6
