Service,Centrality_Score
ECS,0.13373015873015873
Lambda,0.1280952380952381
Kinesis,0.09714285714285714
DynamoDB,0.09674603174603176
SQS,0.06150793650793651
VPC,0.056507936507936514
EKS,0.05198412698412699
EC2,0.023015873015873017
IAM,0.02015873015873016
RDS,0.014444444444444446
API Gateway,0.014285714285714287
Redshift,0.004761904761904762
Route 53,0.002380952380952381
CloudWatch,0.0
S3,0.0
EBS,0.0
